URI	FACH	Type	PRÜFUNG	KIM-Fach exact	KIM-Fach exact	GEFUNDEN	NOTIZEN																					
https://w3id.org/schulfach/BW_000040	Italienisch als spät beginnende Fremdsprache - Wahlfach in der Oberstufe	Schulfach	vorhanden	Italienisch (KIM-Schulfach)			Sek II																					
https://w3id.org/schulfach/BW_000041	Japanisch als spät beginnende Fremdsprache - Wahlfach in der Oberstufe	Schulfach	vorhanden	Japanisch (KIM-Schulfach)			Sek II																					
https://w3id.org/schulfach/BW_000042	Jüdische Religionslehre	Schulfach	vorhanden			FEHLT																						
https://w3id.org/schulfach/BW_000043	Katholische Religionslehre	Schulfach	vorhanden	Religionslehre (katholische) (KIM-Schulfach)																								
https://w3id.org/schulfach/BW_000044	Kunst/Werken	Schulfach	vorhanden	Kunst (KIM-Schulfach)			nur Primarstufe																					
https://w3id.org/schulfach/BW_000045	Latein als dritte Fremdsprache - Profilfach	Schulfach	vorhanden	Latein (KIM-Schulfach)			ab Jahrgangsstufe 8 (nur Gymnasium)																					
https://w3id.org/schulfach/BW_000046	Latein als erste Fremdsprache	Schulfach	vorhanden	Latein (KIM-Schulfach)			ab Jahrgangsstufe 5 (nur Gymnasium)																					
https://w3id.org/schulfach/BW_000047	Latein als spät beginnende Fremdsprache - Wahlfach in der Oberstufe	Schulfach	vorhanden	Latein (KIM-Schulfach)			Sek II																					
https://w3id.org/schulfach/BW_000048	Latein als zweite Fremdsprache	Schulfach	vorhanden	Latein (KIM-Schulfach)			ab Jahrgangsstufe 6 (nur Gymnasium)																					
https://w3id.org/schulfach/BW_000049	Literatur - Wahlfach in der Oberstufe	Schulfach	vorhanden			FEHLT	Sek II																					
https://w3id.org/schulfach/BW_000050	Literatur und Theater	Schulfach	vorhanden	Darstellendes Spiel (KIM-Schulfach)		FEHLT	Sek II																					
https://w3id.org/schulfach/BW_000051	Mathematik	Schulfach	vorhanden	Mathematik (KIM-Schulfach)																								
https://w3id.org/schulfach/BW_000052	Musik	Schulfach	vorhanden	Musik (KIM-Schulfach)																								
https://w3id.org/schulfach/BW_000053	Musik - Profilfach	Schulfach	vorhanden	Musik (KIM-Schulfach)			Sek I, Sek II																					
https://w3id.org/schulfach/BW_000054	Naturwissenschaft und Technik (NwT) - Basisfach in der Kursstufe	Schulfach	vorhanden			FEHLT	nur Gymnasium Sek II																					
https://w3id.org/schulfach/BW_000055	Naturwissenschaft und Technik (NwT) - Profilfach	Schulfach	vorhanden			FEHLT	Sek I, Sek II																					
https://w3id.org/schulfach/BW_000056	Naturwissenschaft und Technik (NwT) - Schulversuch Leistungsfach in der Kursstufe	Schulfach	vorhanden			FEHLT	nur Gymnasium Sek II																					
https://w3id.org/schulfach/BW_000057	Orthodoxe Religionslehre	Schulfach	vorhanden			FEHLT	Sek I alle Schularten, Sek II nur Gymnasium																					
https://w3id.org/schulfach/BW_000058	Philosophie - Wahlfach in der Oberstufe	Schulfach	vorhanden	Philosophie (KIM-Schulfach)			Sek II																					
https://w3id.org/schulfach/BW_000059	Physik	Schulfach	vorhanden	Physik (KIM-Schulfach)			Sek I, Sek II																					
https://w3id.org/schulfach/BW_000060	Portugiesisch als dritte Fremdsprache - Profilfach	Schulfach	vorhanden	Portugiesisch (KIM-Schulfach)			ab Jahrgangsstufe 8 (nur Gymnasium)																					
https://w3id.org/schulfach/BW_000061	Portugiesisch als spät beginnende Fremdsprache - Wahlfach in der Oberstufe	Schulfach	vorhanden	Portugiesisch (KIM-Schulfach)			Sek II																					
https://w3id.org/schulfach/BW_000062	Psychologie - Wahlfach in der Oberstufe	Schulfach	vorhanden	Psychologie (KIM-Schulfach)			Sek II																					
https://w3id.org/schulfach/BW_000063	Russisch als dritte Fremdsprache - Profilfach	Schulfach	vorhanden	Russisch (KIM-Schulfach)			ab Jahrgangsstufe 8 (nur Gymnasium)																					
https://w3id.org/schulfach/BW_000064	Russisch als spät beginnende Fremdsprache - Wahlfach in der Oberstufe	Schulfach	vorhanden	Russisch (KIM-Schulfach)			Sek II																					
https://w3id.org/schulfach/BW_000065	Russisch als zweite Fremdsprache	Schulfach	vorhanden	Russisch (KIM-Schulfach)			ab Jahrgangsstufe 6 (nur Gymnasium)																					
https://w3id.org/schulfach/BW_000066	Sachunterricht	Schulfach	vorhanden	Sachunterricht (KIM-Schulfach)			nur Primarstufe																					
https://w3id.org/schulfach/BW_000067	Spanisch als dritte Fremdsprache - Profilfach	Schulfach	vorhanden	Spanisch (KIM-Schulfach)			Sek I, Sek II																					
https://w3id.org/schulfach/BW_000068	Spanisch als spät beginnende Fremdsprache - Wahlfach in der Oberstufe	Schulfach	vorhanden	Spanisch (KIM-Schulfach)			Sek II																					
https://w3id.org/schulfach/BW_000069	Sport	Schulfach	vorhanden	Sport (KIM-Schulfach)			Sek I, Sek II																					
https://w3id.org/schulfach/BW_000070	Sport - Profilfach	Schulfach	vorhanden	Sport (KIM-Schulfach)			Sek I, Sek II																					
https://w3id.org/schulfach/BW_000071	Sport - Wahlpflichtfach	Schulfach	vorhanden	Sport (KIM-Schulfach)			nur Realschule																					
https://w3id.org/schulfach/BW_000072	Syrisch-Orthodoxe Religionslehre	Schulfach	vorhanden			FEHLT																						
https://w3id.org/schulfach/BW_000073	Technik - Wahlpflichtfach 	Schulfach	vorhanden			FEHLT	Sek I																					
https://w3id.org/schulfach/BW_000074	Türkisch als spät beginnende Fremdsprache - Wahlfach in der Oberstufe	Schulfach	vorhanden	Türkisch (KIM-Schulfach)			Sek II																					
https://w3id.org/schulfach/BW_000075	Wirtschaft	Schulfach	vorhanden	Wirtschaftskunde (KIM-Schulfach)			Sek II																					
https://w3id.org/schulfach/BW_000076	Wirtschaft / Berufs- und Studienorientierung (WBS)	Schulfach	vorhanden	Wirtschaftskunde (KIM-Schulfach)		FEHLT	Sek I, Sek II																					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
