URI	FACH	Type	Top Konzept	Bundesland	KIM-Fach exact	KIM-Fach exact	GEFUNDEN	NOTIZEN
https://w3id.org/schulfach/MV_0000028	Musikensemble	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Musik (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/MV_0000029	Naturwissenschaften	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern			FEHLT	nur Jahrgangsstufe 5 und 6 
https://w3id.org/schulfach/MV_0000030	Niederdeutsch	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern			FEHLT	Sek I, Sek II
https://w3id.org/schulfach/MV_0000031	Philosophie	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Philosophie (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/MV_0000032	Philosophieren mit Kindern	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Philosophie (KIM-Schulfach)			Primarstufe Sek I
https://w3id.org/schulfach/MV_0000033	Physik	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Physik (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/MV_0000034	Polnisch	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Polnisch (KIM-Schulfach)			Sek I ab Jahrgangsstufe 7, Sek II
https://w3id.org/schulfach/MV_0000035	Russisch	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Russisch (KIM-Schulfach)			Sek I ab Jahrgangsstufe 7, Sek II
https://w3id.org/schulfach/MV_0000036	Sachunterricht	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Sachunterricht (KIM-Schulfach)			Primarstufe
https://w3id.org/schulfach/MV_0000037	Schwedisch	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern			FEHLT	Sek I ab Jahrgangsstufe 7, Sek II
https://w3id.org/schulfach/MV_0000038	Sozialkunde	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern			FEHLT	Sek I ab Jahrgangsstufe 7, Sek II
https://w3id.org/schulfach/MV_0000039	Spanisch	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Spanisch (KIM-Schulfach)			Sek I ab Jahrgangsstufe 7, Sek II
https://w3id.org/schulfach/MV_0000040	Sport	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Sport (KIM-Schulfach)			
https://w3id.org/schulfach/MV_0000041	System Erde	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern			FEHLT	Wahlpflichtkurs in Jahrgangsstufe 9 und 10 (Gymnasium, Gesamtschule)
https://w3id.org/schulfach/MV_0000042	Theater/Darstellendes Spiel	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Darstellendes Spiel (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/MV_0000043	Weltkunde	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern			FEHLT	nur Jahrgangsstufe 5 und 6
https://w3id.org/schulfach/MV_0000044	Werken	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern			FEHLT	Primarstufe, Jahrgangsstufe 5 und 6
https://w3id.org/schulfach/MV_0000045	Wirtschaft	Schulfach,skos:Concept	Schulfächer (Mecklenburg-Vorpommern)	Mecklenburg-Vorpommern	Wirtschaftskunde (KIM-Schulfach)			Sek II
