URI	FACH	Type	Top Konzept	Bundesland	KIM-Fach exact	KIM-Fach exact	FEHLT	NOTIZEN
https://w3id.org/schulfach/BY_0000033	Israelitische Religionslehre	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern			FEHLT	Realschule, Gymnasium
https://w3id.org/schulfach/BY_0000034	Physik	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Physik (KIM-Schulfach)			Realschule, Gymnasium, Fachoberschule, Berufsoberschule
https://w3id.org/schulfach/BY_0000035	Politik und Gesellschaft	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern		Politik (KIM-Schulfach),Gesellschaftswissenschaften (KIM-Schulfach)		Realschule, Gymnasium, Fachoberschule, Berufsoberschule, Wirtschaftsschule
https://w3id.org/schulfach/BY_0000036	Soziallehre	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern			FEHLT	Realschule
https://w3id.org/schulfach/BY_0000037	Sozialwesen	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern			FEHLT	Realschule
https://w3id.org/schulfach/BY_0000038	Spanisch	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Spanisch (KIM-Schulfach)			Realschule, Gymnasium, Fachoberschule, Berufsoberschule
https://w3id.org/schulfach/BY_0000039	Textiles Gestalten	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern			FEHLT	Realschule
https://w3id.org/schulfach/BY_0000040	Werken	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern			FEHLT	Realschule
https://w3id.org/schulfach/BY_0000041	Wirtschaft und Recht	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Wirtschaftskunde (KIM-Schulfach)		FEHLT	Realschule, Gymnasium, Fachoberschule, Berufsoberschule
https://w3id.org/schulfach/BY_0000042	Archäologie	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern			FEHLT	Gymnasium
https://w3id.org/schulfach/BY_0000043	Berufliche Orientierung	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern			FEHLT	Gymnasium
https://w3id.org/schulfach/BY_0000044	Biologisch-chemisches Praktikum	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern		Biologie (KIM-Schulfach),Chemie (KIM-Schulfach)		Gymnasium
https://w3id.org/schulfach/BY_0000045	Chinesisch	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Chinesisch (KIM-Schulfach)			Gymnasium
https://w3id.org/schulfach/BY_0000046	Geologie	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern			FEHLT	Gymnasium
https://w3id.org/schulfach/BY_0000047	Griechisch	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Neugriechisch (KIM-Schulfach)			Gymnasium
https://w3id.org/schulfach/BY_0000048	Instrumentalensemble	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern			FEHLT	Gymnasium
https://w3id.org/schulfach/BY_0000049	Italienisch	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Italienisch (KIM-Schulfach)			Gymnasium, Fachoberschule, Berufsoberschule
https://w3id.org/schulfach/BY_0000050	Latein	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Latein (KIM-Schulfach)			Gymnasium, Fachoberschule, Berufsoberschule
https://w3id.org/schulfach/BY_0000051	Natur und Technik (Gym)	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern			FEHLT	Gymnasium
https://w3id.org/schulfach/BY_0000052	Polnisch	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Polnisch (KIM-Schulfach)			Gymnasium
https://w3id.org/schulfach/BY_0000053	Psychologie	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Psychologie (KIM-Schulfach)			Gymnasium
https://w3id.org/schulfach/BY_0000054	Russisch	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Russisch (KIM-Schulfach)			Gymnasium, Fachoberschule, Berufsoberschule
https://w3id.org/schulfach/BY_0000055	Sozialpraktische Grundbildung	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern			FEHLT	Gymnasium
https://w3id.org/schulfach/BY_0000056	Sozialwissenschaftliche Arbeitsfelder	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern			FEHLT	Gymnasium
https://w3id.org/schulfach/BY_0000057	Sport und Gesellschaft	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern		Sport (KIM-Schulfach),Gesellschaftswissenschaften (KIM-Schulfach)		Gymnasium
https://w3id.org/schulfach/BY_0000058	Tanz- und Bewegungskünstetheater	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern			FEHLT	Gymnasium
https://w3id.org/schulfach/BY_0000059	Theater und Film	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern			FEHLT	Gymnasium
https://w3id.org/schulfach/BY_0000060	Tschechisch	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern			FEHLT	Gymnasium
https://w3id.org/schulfach/BY_0000061	Türkisch	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern	Türkisch (KIM-Schulfach)			Gymnasium
https://w3id.org/schulfach/BY_0000062	Vokalensemble	Schulfach,skos:Concept	Schulfächer (Bayern)	Bayern			FEHLT	Gymnasium
