URI	FACH	Type	Top Konzept	Bundesland	KIM-Fach exact	KIM-Fach exact	GEFUNDEN	NOTIZEN
https://w3id.org/schulfach/NI_0000034	Politik-Wirtschaft	Schulfach,skos:Concept	Schulfächer (Niedersachsen)	Niedersachsen		Politik (KIM-Schulfach),Wirtschaftskunde (KIM-Schulfach)		Sek I Gymnasium, Sek II
https://w3id.org/schulfach/NI_0000035	Polnisch	Schulfach,skos:Concept	Schulfächer (Niedersachsen)	Niedersachsen	Polnisch (KIM-Schulfach)			nur EPAS
https://w3id.org/schulfach/NI_0000036	Profil Gesundheit und Soziales	Schulfach,skos:Concept	Schulfächer (Niedersachsen)	Niedersachsen	Gesundheit (KIM-Schulfach)		FEHLT	Realschule
https://w3id.org/schulfach/NI_0000037	Profil Technik	Schulfach,skos:Concept	Schulfächer (Niedersachsen)	Niedersachsen			FEHLT	Realschule
https://w3id.org/schulfach/NI_0000038	Profil Wirtschaft	Schulfach,skos:Concept	Schulfächer (Niedersachsen)	Niedersachsen	Wirtschaftskunde (KIM-Schulfach)			Realschule
https://w3id.org/schulfach/NI_0000039	Psychologie	Schulfach,skos:Concept	Schulfächer (Niedersachsen)	Niedersachsen	Psychologie (KIM-Schulfach)			nur EPAS
https://w3id.org/schulfach/NI_0000040	Recht	Schulfach,skos:Concept	Schulfächer (Niedersachsen)	Niedersachsen			FEHLT	nur EPAS
https://w3id.org/schulfach/NI_0000041	Russisch	Schulfach,skos:Concept	Schulfächer (Niedersachsen)	Niedersachsen	Russisch (KIM-Schulfach)			Sek I Gymnasium , IGS, Sek II
https://w3id.org/schulfach/NI_0000042	Sachunterricht	Schulfach,skos:Concept	Schulfächer (Niedersachsen)	Niedersachsen	Sachunterricht (KIM-Schulfach)			Primarstufe
https://w3id.org/schulfach/NI_0000043	Spanisch	Schulfach,skos:Concept	Schulfächer (Niedersachsen)	Niedersachsen	Spanisch (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/NI_0000044	Sport	Schulfach,skos:Concept	Schulfächer (Niedersachsen)	Niedersachsen	Sport (KIM-Schulfach)			
https://w3id.org/schulfach/NI_0000045	Technik	Schulfach,skos:Concept	Schulfächer (Niedersachsen)	Niedersachsen			FEHLT	Oberschule, Hauptschule, Realschule
https://w3id.org/schulfach/NI_0000046	Textiles Gestalten	Schulfach,skos:Concept	Schulfächer (Niedersachsen)	Niedersachsen			FEHLT	Primarstufe, Hauptschule, Realschule, Oberschule
https://w3id.org/schulfach/NI_0000047	Theater / Darstellendes Spiel	Schulfach,skos:Concept	Schulfächer (Niedersachsen)	Niedersachsen	Darstellendes Spiel (KIM-Schulfach)			Sek I (Gymnasium, Gesamtschule)
https://w3id.org/schulfach/NI_0000048	Türkisch	Schulfach,skos:Concept	Schulfächer (Niedersachsen)	Niedersachsen	Türkisch (KIM-Schulfach)			nur EPAS
https://w3id.org/schulfach/NI_0000049	Werte und Normen	Schulfach,skos:Concept	Schulfächer (Niedersachsen)	Niedersachsen	Ethik (KIM-Schulfach)			
https://w3id.org/schulfach/NI_0000050	Wirtschaft	Schulfach,skos:Concept	Schulfächer (Niedersachsen)	Niedersachsen	Wirtschaftskunde (KIM-Schulfach)			Oberschule, Hauptschule, Realschule
