URI	FACH	Type	Top Konzept	Bundesland	KIM-Fach exact	KIM-Fach exact	FEHLT	NOTIZEN
https://w3id.org/schulfach/HH_0000034	Neuere Fremdsprachen: Italienisch	Schulfach,skos:Concept	Schulfächer (Hamburg)	Hamburg	Italienisch (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HH_0000035	Neuere Fremdsprachen: Polnisch	Schulfach,skos:Concept	Schulfächer (Hamburg)	Hamburg	Polnisch (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HH_0000036	Neuere Fremdsprachen: Portugiesisch	Schulfach,skos:Concept	Schulfächer (Hamburg)	Hamburg	Portugiesisch (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HH_0000037	Neuere Fremdsprachen: Russisch	Schulfach,skos:Concept	Schulfächer (Hamburg)	Hamburg	Russisch (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HH_0000038	Neuere Fremdsprachen: Spanisch	Schulfach,skos:Concept	Schulfächer (Hamburg)	Hamburg	Spanisch (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HH_0000039	Neuere Fremdsprachen: Türkisch	Schulfach,skos:Concept	Schulfächer (Hamburg)	Hamburg	Türkisch (KIM-Schulfach)			Sek II
https://w3id.org/schulfach/HH_0000040	Politik/Gesellschaft/Wirtschaft	Schulfach,skos:Concept	Schulfächer (Hamburg)	Hamburg		Politik (KIM-Schulfach),Gesellschaftswissenschaften (KIM-Schulfach),Wirtschaftskunde (KIM-Schulfach)		Sek I, Sek II
https://w3id.org/schulfach/HH_0000041	Physik	Schulfach,skos:Concept	Schulfächer (Hamburg)	Hamburg	Physik (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/HH_0000042	Pädagogik	Schulfach,skos:Concept	Schulfächer (Hamburg)	Hamburg			FEHLT	Gymnasium
https://w3id.org/schulfach/HH_0000043	Philosophie	Schulfach,skos:Concept	Schulfächer (Hamburg)	Hamburg	Philosophie (KIM-Schulfach)			Gymnasium
https://w3id.org/schulfach/HH_0000044	Rahmenvorgaben für die berufliche Orientierung	Schulfach,skos:Concept	Schulfächer (Hamburg)	Hamburg			FEHLT	Sek I
https://w3id.org/schulfach/HH_0000045	Seminar	Schulfach,skos:Concept	Schulfächer (Hamburg)	Hamburg			FEHLT	Stadtteilschule, Sek II
https://w3id.org/schulfach/HH_0000046	Wirtschaft	Schulfach,skos:Concept	Schulfächer (Hamburg)	Hamburg	Wirtschaftskunde (KIM-Schulfach)			Sek I, Sek II
https://w3id.org/schulfach/HH_0000047	Psychologie	Schulfach,skos:Concept	Schulfächer (Hamburg)	Hamburg	Psychologie (KIM-Schulfach)			Gymnasium
https://w3id.org/schulfach/HH_0000048	Recht	Schulfach,skos:Concept	Schulfächer (Hamburg)	Hamburg			FEHLT	Gymnasium
https://w3id.org/schulfach/HH_0000049	Fachrichtung Pädagogik/Psychologie an beruflichen Gymnasien	Schulfach,skos:Concept	Schulfächer (Hamburg)	Hamburg	Psychologie (KIM-Schulfach)		FEHLT	Gymnasium Sek II
https://w3id.org/schulfach/HH_0000050	Fachrichtung Technik an beruflichen Gymnasien	Schulfach,skos:Concept	Schulfächer (Hamburg)	Hamburg			FEHLT	Gymnasium Sek II
https://w3id.org/schulfach/HH_0000051	Fachrichtung Wirtschaft an beruflichen Gymnasien	Schulfach,skos:Concept	Schulfächer (Hamburg)	Hamburg	Wirtschaftskunde (KIM-Schulfach)			Gymnasium Sek II
